trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-101.586043846979,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-109.7814777869086,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-95.26765182398964,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,3,-163.6525263385652,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 3}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,10,-1.161136347774916,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-113.73303379957646,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-17.141894015482467,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-5.697429694067143,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,4.243023562594571,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-15.796549687257306,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-38.685553624745864,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-129.6584540543841,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-71.5468926485795,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-37.84198293284558,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,7,3.0242099297658944,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,-55.00572921011235,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,2,4.1869219366067485,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,6,23.762897619364534,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,30.488703125967803,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,24.894237475678736,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,7,-26.20770559127792,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,6,26.180599547398245,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-10.927443148772104,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,2,16.275373189499227,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,5,3.1269530473957983,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,10,12.482904880342502,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,11,-3.014938576166952,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,30.67628532321081,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,18,2.667014369096638,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-27.676792163926173,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
