trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-174.17371340940775,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",35,0,-110.23017267761274,"{0: 25, 1: 1, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-139.59037006950356,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",1
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",30,0,-279.04803456608795,"{0: 13, 1: 4, 2: 7, 3: 2, 4: 4}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-89.55653493240337,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-155.01419291561461,"{0: 9, 1: 1, 2: 6, 3: 3, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-230.84594105049712,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 5}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-131.83844687168423,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,0,-194.91652520009097,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",30,0,-161.74904244851527,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-41.88146807892451,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",35,0,-193.29035246692348,"{0: 20, 1: 4, 2: 7, 3: 2, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,0,-249.88384502756074,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 5}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-181.66102996812418,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-120.96949779769731,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-89.33336074021517,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-96.24535183956863,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-94.23011075356017,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",30,16,-33.11586434473526,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-139.09403781408767,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-85.44065322697686,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-133.64395486044438,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-104.32180843114955,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-134.52814198755183,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-46.64841119926326,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-89.59498267856793,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-127.69538579243311,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",35,13,-117.12492463141722,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 2}",1
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",35,16,-107.3239062372513,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 1}",1
30,False,"{'a': 0.01, 'e': 0.955336489125606}",30,0,-115.02618967686429,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,3,-99.37745870851126,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 2}",1
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-77.74027272688639,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-225.28740135124278,"{0: 7, 1: 5, 2: 3, 3: 1, 4: 4}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,8,-51.11505525350337,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-75.01695095879471,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-62.77838301282731,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-157.26913231563208,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,0,-185.7127689488627,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-146.8134300502765,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
