trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-124.04931775794438,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-120.40628909242558,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-168.5996281701552,"{0: 9, 1: 5, 2: 9, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-153.3528643776209,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-173.80090424959883,"{0: 23, 1: 2, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-172.90212331302934,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-83.7438419033813,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-83.851526230705,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-163.08150022164108,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-152.51882605506034,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,4,-110.45448527918015,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-137.67097219452862,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-150.62591438522597,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-160.56318907878256,"{0: 7, 1: 1, 2: 10, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-93.26002721567838,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-93.71972695286517,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,7,-110.18515460751236,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-193.5883690717097,"{0: 19, 1: 4, 2: 1, 3: 3, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-68.82525670819949,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-48.91148715445844,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-134.22204059841482,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-6.143763638162167,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-86.9934914225257,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-230.285088960486,"{0: 16, 1: 4, 2: 3, 3: 4, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,14,-52.68543806840137,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-72.7114828561992,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-159.08031031379662,"{0: 18, 1: 4, 2: 3, 3: 3, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-99.80942008146278,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-87.68286491474956,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-147.0940113413237,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
