trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,10,-78.59737683190933,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 1}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",35,0,-140.65307939522745,"{0: 23, 1: 4, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-40.93295054380784,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-86.83726732178653,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,12,-33.55817087170288,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,12,-15.439336026955365,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-113.28936898167609,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-75.26136115490901,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-97.03330828926934,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-0.040997611247488686,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,8,-96.07058891978117,"{0: 5, 1: 1, 2: 4, 3: 1, 4: 1}",1
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-115.59579256327127,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,3,-55.65539679071863,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",30,3,-188.83018907972502,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 3}",1
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-109.61124854070533,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",30,0,-62.61988530842817,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",30,0,-78.56059339775364,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-118.86701383066843,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,1,-68.91661950129856,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,3,-100.10183928038234,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 1}",1
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-125.70184613567069,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-126.96892819297382,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-94.67206118954758,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-12.413248773715846,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-166.40803210483574,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-95.68005584192579,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,8,-28.229014559777347,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-94.84796955093435,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-69.6184015777427,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
